stock_code,company_name,corp_code,induty_code,top2_ksic,E_intensive,induty_name
005930,삼성전자,00126380,264,26,0,전자/반도체
001460,BYC,00122579,14120,14,0,의복
005380,현대자동차,00164742,30121,30,0,기타운송장비
000120,CJ대한통운,00113410,493,49,0,육상운송
097950,CJ제일제당,00635134,108,10,0,식료품
001040,CJ,00148540,64992,64,0,금융
035760,CJ ENM,00265324,602,60,0,방송업
282330,BGF리테일,01263022,47122,47,0,소매
051500,CJ프레시웨이,00127954,4632,46,0,도매
000660,SK하이닉스,00164779,2612,26,0,전자/반도체
035420,NAVER,00266961,63120,63,0,정보서비스
035720,카카오,00258801,63120,63,0,정보서비스
036570,엔씨소프트,00261443,582,58,0,출판
018260,삼성에스디에스,00126186,62021,62,0,소프트웨어
068270,셀트리온,00413046,21100,21,0,의약품
005490,POSCO홀딩스,00155319,2411,24,1,1차금속(철강)
051910,LG화학,00356361,20111,20,1,화학/화학제품
096770,SK이노베이션,00631518,192,19,1,석유정제
011170,롯데케미칼,00165413,20111,20,1,화학/화학제품
010130,고려아연,00102858,24213,24,1,1차금속(철강)
010950,S-Oil,00138279,19210,19,1,석유정제
086790,하나금융지주,00547583,64992,64,0,금융
055550,신한지주,00382199,64992,64,0,금융
105560,KB금융지주,00688996,64992,64,0,금융
316140,우리금융지주,01350869,64992,64,0,금융
138930,BNK금융지주,00858364,64992,64,0,금융
024110,기업은행,00149646,64121,64,0,금융
000640,동아쏘시오홀딩스,00116824,64992,64,0,금융
001740,SK네트웍스,00131780,467,46,0,도매
002790,아모레퍼시픽홀딩스,00154462,20423,20,1,화학/화학제품
003670,포스코케미칼,00155276,282,28,0,기계
006400,삼성SDI,00126362,28202,28,0,기계
007070,GS리테일,00140177,47122,47,0,소매
011210,현대위아,00106623,303,30,0,기타운송장비
014790,HL D&I,00161116,41221,41,0,종합건설
030200,케이티,00190321,612,61,0,통신업
042670,현대두산인프라코어,00344287,29241,29,1,자동차
057050,현대홈쇼핑,00412597,47919,47,0,소매
064350,현대로템,00302926,31910,31,0,가구
000070,삼양홀딩스,00126937,64992,64,0,금융
000100,유한양행,00145109,212,21,0,의약품
000150,두산,00117212,26221,26,0,전자/반도체
