stock_code,fiscal_year,E_seed,S_seed,G_seed,ESG_seed_index,E_seed_norm,S_seed_norm,G_seed_norm,ESG_seed_norm,E_seed_log,S_seed_log,G_seed_log,ESG_seed_log,text_length,induty_code,induty_name,E_intensive,E_ratio,S_ratio,G_ratio,E_seed_win,S_seed_win,G_seed_win,E_seed_norm_log,S_seed_norm_log,G_seed_norm_log,ESG_seed_norm_log,E_industry_z,S_industry_z,G_industry_z,TFPC1,TFPC2,TFPC3,TFPC4,TFPC7,TFPC12,TFPC15,TFPC17,TFPC20,TFPC26,neg_TFPC2,low_token_flag,esg_grade,e_grade,s_grade,g_grade,esg_year,company_name,esg_numeric,e_numeric,s_numeric,g_numeric,neg_KRFPC1,KRFPC2,E_finbert,S_finbert,G_finbert,X_finbert
000020,2022,0,4,11,15,0.0,3.0745580322828596,8.455034588777863,11.529592621060724,0.0,1.6094379124341005,2.4849066497880004,2.772588722239781,1301,212,의약품,0,0.0,0.2666666666666666,0.7333333333333333,0,4.0,11,0.0,1.404762282475301,2.2465473603562796,2.5280932560937845,-0.651264084142891,-0.1563964048129755,-0.6546100057386094,0.4312886566705768,-0.0589549188419155,-0.090961993776593,0.1869704654726228,-0.0285031634578426,-0.1170339357916401,0.1628583510382186,-0.0204367368655346,-0.1217930068641706,0.0163113696633928,0.0589549188419155,0,C,C,B+,C,2022,동화약품,1,1,3,1,0.3076721600045677,-0.3691963141744284,0.0366643077595102,0.0803475969411065,0.2361784935611385,0.1766072910712947
000020,2023,0,3,11,14,0.0,2.452984464431725,8.994276369582993,11.447260834014717,0.0,1.3862943611198906,2.4849066497880004,2.70805020110221,1223,212,의약품,0,0.0,0.2142857142857142,0.7857142857142857,0,3.0,11,0.0,1.2392389192467712,2.3020125660900903,2.5215005853720815,-0.651264084142891,-0.51248361481546,-0.561806985108358,0.4249468723874298,-0.0559186727072492,-0.0933836999103906,0.1853414500190166,-0.0280486234112021,-0.1074733501253049,0.1586778544322505,-0.0185797553059942,-0.1135348728715982,0.0282935651913762,0.0559186727072492,0,C,C,B,C,2023,동화약품,1,1,2,1,0.0589659861868197,-0.3609604906460273,0.0079550914505186,0.0873747052683029,0.2595590134966187,0.1948925749456975
000020,2024,0,3,11,14,0.0,2.461033634126333,9.023789991796551,11.484823625922887,0.0,1.3862943611198906,2.4849066497880004,2.70805020110221,1219,212,의약품,0,0.0,0.2142857142857142,0.7857142857142857,0,3.0,11,0.0,1.241567282643067,2.3049612668352504,2.5245137967535283,-0.651264084142891,-0.507872404610209,-0.5567277175355285,0.4249468723874298,-0.0559186727072492,-0.0933836999103906,0.1853414500190166,-0.0280486234112021,-0.1074733501253049,0.1586778544322505,-0.0185797553059942,-0.1135348728715982,0.0282935651913762,0.0559186727072492,0,C,B,B,C,2024,동화약품,1,2,2,1,0.0599427703921068,-0.3628087614060696,0.0079588463180698,0.0873117887667225,0.2595302023051772,0.1951276854670141
000040,2022,0,2,2,4,0.0,4.6082949308755765,4.6082949308755765,9.216589861751151,0.0,1.0986122886681098,1.0986122886681098,1.6094379124341005,434,319,가구,0,0.0,0.5,0.5,0,2.0,2,0.0,1.7242467394470675,1.7242467394470675,2.3240128560758517,-0.9084602218538004,-0.0883295269815309,0.2448230000474534,0.3224963091493378,-0.015860122231146,0.1098634355604068,0.0805688272816955,0.2019269797231138,0.2604515283226699,-0.0886801814716136,-0.265220536302859,-0.1255286973748028,-0.245928782825574,0.015860122231146,0,D,D,D,D,2022,KR모터스,0,0,0,0,-0.2906584531716846,-0.8265599121722177,0.0266324367969193,0.1889121023252502,0.1747457868574808,0.0038748325896449
000040,2023,0,1,0,1,0.0,13.698630136986305,0.0,13.698630136986305,0.0,0.6931471805599453,0.0,0.6931471805599453,73,319,가구,0,0.0,1.0,0.0,0,1.0,0,0.0,2.6877543014823075,0.0,2.6877543014823075,-0.9084602218538004,1.9045653703257224,-1.9567521590731125,0.185640460558255,-0.120807386855071,0.1001406035921624,0.1074357334417611,0.1496661489381562,0.2224474514904226,-0.0731480554223579,-0.2795626845909844,-0.1058653219972633,-0.2762606921913003,0.120807386855071,1,D,D,D,D,2023,KR모터스,0,0,0,0,0.6721944308883459,-2.1332141267232583,0.004647996276617,0.3171708260973294,0.015965589787811,0.0026122664567083
000040,2024,0,2,2,4,0.0,5.730659025787966,5.730659025787966,11.461318051575931,0.0,1.0986122886681098,1.0986122886681098,1.6094379124341005,349,319,가구,0,0.0,0.5,0.5,0,2.0,2,0.0,1.9066730624564856,1.9066730624564856,2.522629290395211,-0.9084602218538004,0.1577289105740146,0.7810232537014591,0.2926643610932955,0.0267571104619481,0.1344513048137232,0.0772299552168013,0.2403575303675758,0.2233163491067806,-0.0958709637698839,-0.2612973450459376,-0.1125217684799557,-0.2342711916292147,-0.0267571104619481,1,D,D,D,D,2024,KR모터스,0,0,0,0,-0.2481086899751858,-0.9167015273057189,0.0165721052358599,0.1969178146035928,0.1785983467901436,0.0023335630927855
000050,2022,1,2,7,10,1.8281535648994511,3.6563071297989023,12.79707495429616,18.281535648994513,0.6931471805599453,1.0986122886681098,2.0794415416798357,2.3978952727983707,547,47119,소매,0,0.1,0.2,0.7,1,2.0,7,1.0396240481510848,1.5382226725574757,2.624456609862887,2.959147935854633,0.342251633063825,0.3448212048550103,-0.4988771779252456,0.3982332362664571,0.1288239411920048,-0.0424338258353543,0.2894450407115089,0.2282809833040888,0.1424962382896317,-0.0170398298390804,-0.1562952530615907,-0.1937007388287444,-0.0396760826508051,-0.1288239411920048,0,D,C,D,D,2022,경방,0,1,0,0,-1.0293617700288231,-0.2520977182499888,0.0451424619895988,0.056061328134092,0.3208338332333369,0.0547209782234858
000050,2023,2,3,7,12,2.828854314002829,4.243281471004243,9.9009900990099,16.973125884016973,1.0986122886681098,1.3862943611198906,2.0794415416798357,2.5649493574615367,707,47119,소매,0,0.1666666666666666,0.25,0.5833333333333334,2,3.0,7,1.3425656237177284,1.6569475372541596,2.3888536198814205,2.8888776358079618,0.99400330762093,1.0820077948959752,-1.266386900689264,0.4298919072681903,0.039161501197922,-0.0200239821690399,0.3498131313133847,0.2693606998033827,0.0840047766433227,0.0298297819757688,-0.0839089788013645,-0.147963003417411,-0.0232940546087766,-0.039161501197922,0,C,C,D,C,2023,경방,1,1,0,1,-0.4477554179637829,-0.2835697403267889,0.0550225004010523,0.0990329326654318,0.2640568457311019,0.0097200050717219
000050,2024,4,3,7,14,4.624277456647399,3.468208092485549,8.092485549132949,16.184971098265898,1.6094379124341005,1.3862943611198906,2.0794415416798357,2.70805020110221,865,47119,소매,0,0.2857142857142857,0.2142857142857142,0.5,4,3.0,7,1.727092487688226,1.496987454089643,2.207448308560499,2.844035228500319,2.1633539259807595,0.108585856607462,-1.7456701037210771,0.4452727991243002,-0.0335425110797623,-0.0254968359168358,0.2846890660470323,0.2569719229532671,0.0470057144277684,0.0515141352156793,-0.0672204926673893,-0.1748416036149786,-0.0437161325852813,0.0335425110797623,0,C,C,D,C,2024,경방,1,1,0,1,-0.1348154456425734,-0.2894764534056117,0.0805478589926761,0.0898071789680133,0.2399965393335812,0.0089418244474059
000070,2022,35,6,30,71,7.898894154818326,1.3540961408259986,6.7704807041299935,16.023470999774318,3.58351893845611,1.9459101490553132,3.4339872044851463,4.276666119016055,4431,64992,금융,0,0.4929577464788732,0.0845070422535211,0.4225352112676056,35,6.0,30,2.185927016750538,0.8561568494764816,2.050332029149289,2.834593038884982,2.060528584817685,-0.6785621471898458,-0.6852635081063889,0.5103090905871752,-0.2861266746013972,-0.1284593555076499,-0.0588455006776527,-0.0971779864567152,-0.0905893227277279,-0.0211403918160436,-0.0182215981005836,-0.0294281892384952,0.1162946617395614,0.2861266746013972,0,B+,B+,A,B,2022,삼양홀딩스,3,3,4,2,1.199518715556826,0.3305315547769645,0.1766191349791673,0.0299057005754548,0.1756933291312634,0.0290388494495346
