stock_code,fiscal_year,ESG_passage_en
000020,2022,"Aggression is understressive sales through non-resistance and non-conservation rights, as opposed to reservation and reservation of non-reservation rights. In addition, the financial sectors of the connected enterprise are responsible for monitoring and managing the financial risks associated with the board's approved management and procedures."
000020,2023,Aggression is understaffing sales from under-resisting and understaffing the sub-serving of the sub-servation and subsidy of the sub-servation of the sub-servation and subsidy of the subsidy of the sub-servation of the subsidy.
000020,2024,Aggression is understaffing sales from under-resisting and understaffing the sub-serving of the sub-servation and subsidy of the sub-servation of the sub-servation and subsidy of the sub-servation of the sub-servation and subsidy of the subsidy of the subsidy of the subsidying and under-servation of the subsidying of the subsidy.
000040,2022,"The party has completed the development of a two-way electric vehicle that is suitable for this market trend and has been running a full-time operation on the domestic market. In the case of the European market, it follows the U.S."
000040,2023,"The U.S. market has its own safety regulations, except for environmental laws, which are self-inflicted by manufacturers, and they're based on low-income methods, and so on."
000040,2024,"In the case of the European market, as an integration of safety and environment, the WVTA rules are being followed, but now the integration of the norms through the WP29 (World Standard Reconciliation Forms) is expected to be achieved, so that the U.S. market will maintain its own safety regulations, including its own self-reservation regulations, and will remain unrecommunicated and unannounced on the issue of September 24th."
000050,2022,"A recent green environment trend in the case of Honsa is also producing the power of recycled polyesters, and GLOBAL RECTED STANED STANDD authentication. (5) The purpose of the capital management of capital risk management is to maintain the optimal capital structure that can continue to provide benefits for the shareholders and stakeholders as an enterprise, and to maintain the cost of capital for the stakeholders. This is the same as a fully qualified international association of members of the board of the board of the board, whether it is based on the responsibilities of the board, whether it is based on the responsibilities of the board, or whether it is based on the limits of the board, or whether it is based on the generality of the board of the board of the board, whether it is the board of the board, whether it is the board, whether it is a nationality, whether it is a nationality, whether it's a nationality, whether it's a nationality, whether it's a nationality, whether it's a nationality, whether it's a nationality, whether it's a nationality, whether it's a nationality, whether it's a nationality, whether it's a nationality, whether it's a nationality, whether it's a national property, whether it's a national property, whether it's a nationally, whether it's a nationally, whether it's a nationally, whether it's a nationally, whether it's a nationally, whether it's a nationally, whether it's a nationally, whether it's a nationally, whether it's a nationally, or whether it's a nationalist, or whether it's a nationalist, or whether it's a nationalist. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
000050,2023,"A recent green environment trend has resulted in a re-integration of a fully-registered product, which has been re-initiated for the first and only-acceded to the rights of the board of directors."
000050,2024,"In accordance with the green environment trend, there is no resaturation and re-integration of the sub-servation of the sub-servation and subsidy of the subsidy. In accordance with the sub-servation of the subsidy of the subsidy, the subsidy of the subsidy of the subsidy and subsidy of the subsidy of the subsidy, the subsidying of the subsidy, the reservation of the subsidy, the re-reservation of the subsidy, and the reserving of the sub-envitation of the sub-reservation of the sub-exervicitation of the subsidyservation of the subsidyservation of the resergation of the sub-existicivation of the subservation of the subservation of the individual."
000070,2022,"The businessholders are the ones who own the shares of the shares and shares the shares of the shares in the shares and shares the shares of the shares in the shares. In the interest of the subsidents, the sub-conservation of the shares, by increasing the transparency of business values from the market, by allowing them to be able to achieve an objective and objective evaluation, is able to establish a quick and professional decision-making system, and to maintain control of the management of the enterprises."
