stock_code,fiscal_year,ESG_passage,E,G,S,text_length
000020,2022,"또한 브랜 드 인지도 및 대중매체 광고 활용, 전문적인 디테일 활동, 영업인력 전문교육을 통 한 영업력 강화 등을 통해 판매를 강화해 나가고 있습니다. 연결기업의 재무부문은 이사회에서 승인된 위험관리 정책 및 절차에 따라 연결기업의 영업과 관련한 금융위험을 감시하고 관리하는 역할을 하고 있습니다. 관계법령 또는 정부의 규제제약산업은 국민의 건강관리 및 질병의 예방, 치료, 처치 등을 위해 의약품을 개발·허가·제조 및 품질관리, 유통·판매하는 산업으로서 타 산업에 비해 많은 규제(안전성·유효성·안정성 확보, 약사법, 약가규제, 지적재산권 등)와 제약이 있습니다.최근 정부는 신약은 패스트트랙을 '지원'하되, 제네릭 의약품은 개발 노력(책임성 강화 및 시간, 비용 투자 등)에 따른 차등가격 원칙으로 개편되는 등 제약산업에 대한 규제를 강화하고 있습니다. 또한 정부의 약가 적정화 정책 및 한미 FTA체결, 약제비 적정화 방안 시행, 기등재의약품 목록 정비 사업, GMP기준 선진화 추진, 비윤리적 영업관행 금지 등급변하는 경쟁 환경속 에 각 제약사별 실적차별화가 예상되며 제품력, 영업력 및 브랜드인지도 등 경쟁요인과 더불어 신약개발력 및 수출경쟁력 확보 여부가 중요한 핵심쟁점으로 부상하고 있습니다. 전문의약품시장은 지속적인 대내외 환경변화 요인이 발생하고 있으며, 이러한 환경속에서 준법경영을 위해 CP(공정거래 자율준수프로그램)운영을 강화하는 동시에 제품 및 영업력 강화를 통한 경쟁력 확보에 중점을 두고 있습니다. 그러나 한편으로는 수요가 급격하게 반등하면서 원자재 가격과 물류비의 상승 등 공급망에 제약을 불러왔고, 기업들에 큰 부담으로 작용하기도 하였습니다. 동화약품은 지속 가능한 성장을 위해 ▲ 경쟁력 강화를 통한 지속가능 성장 ▲ 빠르고 유연한 프로세스 정립 ▲ 회사 성장에 기여하는 R&D 구축 ▲ 직원 역량강화를 통한 견고한 조직 구현 ▲ 포트폴리오 확대를 통한 미래 성장동력 확보를 추진하며 모든 역량을 집중하고 있습니다. 이사선임의 후보자의 인적사항은 주주총회 소집통지, 소집공고를 통해 주주총회 전에 공시하고 있습니다. 93기 주주총회부터 주주총회의 원활한 진행과 정족수 확보를 위하여 전자투표제를 한국예탁결제원에 위탁업무를 맡겨 진행하고 있습니다. 소수주주권 및 경영권 경쟁공시대상기간 중 소수주주권이 행사된 경우가 없었으며, 경영지배권에 관하여 경쟁이 있었던 경우도 없습니다.",0,6,4,1180
000020,2023,"또한 브랜 드 인지도 및 대중매체 광고 활용, 전문적인 디테일 활동, 영업인력 전문교육을 통 한 영업력 강화 등을 통해 판매를 강화해 나가고 있습니다. 연결기업의 재무부문은 이사회에서 승인된 위험관리 정책 및 절차에 따라 연결기업의 영업과 관련한 금융위험을 감시하고 관리하는 역할을 하고 있습니다. 관계법령 또는 정부의 규제제약산업은 국민의 건강관리 및 질병의 예방, 치료, 처치 등을 위해 의약품을 개발·허가·제조 및 품질관리, 유통·판매하는 산업으로서 타 산업에 비해 많은 규제(안전성·유효성·안정성 확보, 약사법, 약가규제, 지적재산권 등)와 제약이 있습니다.최근 정부는 신약은 패스트트랙을 '지원'하되, 제네릭 의약품은 개발 노력(책임성 강화 및 시간, 비용 투자 등)에 따른 차등가격 원칙으로 개편되는 등 제약산업에 대한 규제를 강화하고 있습니다. 또한 정부의 약가 적정화 정책 및 한미 FTA체결, 약제비 적정화 방안 시행, 기등재의약품 목록 정비 사업, GMP기준 선진화 추진, 비윤리적 영업관행 금지 등급변하는 경쟁 환경속 에 각 제약사별 실적차별화가 예상되며 제품력, 영업력 및 브랜드인지도 등 경쟁요인과 더불어 신약개발력 및 수출경쟁력 확보 여부가 중요한 핵심쟁점으로 부상하고 있습니다. 전문의약품시장은 지속적인 대내외 환경변화 요인이 발생하고 있으며, 이러한 환경속에서 준법경영을 위해 CP(공정거래 자율준수프로그램)운영을 강화하는 동시에 제품 및 영업력 강화를 통한 경쟁력 확보에 중점을 두고 있습니다. 동화약품은 지속 가능한 성장을 위해 ▲ 경쟁력 강화를 통한 지속가능 성장 ▲ 빠르고 유연한 프로세스 정립 ▲ 회사 성장에 기여하는 
 R&D 구축 ▲ 직원 역량강화를 통한 견고한 조직 구현 ▲ 포트폴리오 확대를 통한 미래 성장동력 확보를 지속추진하며 모든 역량을 집중하고 있습니다 
 . 이사선임의 후보자의 인적사항은 주주총회 소집통지, 소집공고를 통해 주주총회 전에 공시하고 있습니다. 93기 주주총회부터 주주총회의 원활한 진행과 정족수 확보를 위하여 전자투표제를 한국예탁결제원에 위탁업무를 맡겨 진행하고 있습니다. 소수주주권 및 경영권 경쟁공시대상기간 중 소수주주권이 행사된 경우가 없었으며, 경영지배권에 관하여 경쟁이 있었던 경우도 없습니다.",0,6,3,1104
000020,2024,"또한 브랜 드 인지도 및 대중매체 광고 활용, 전문적인 디테일 활동, 영업인력 전문교육을 통 한 영업력 강화 등을 통해 판매를 강화해 나가고 있습니다. 연결기업의 재무부문은 이사회에서 승인된 위험관리 정책 및 절차에 따라 연결기업의 영업과 관련한 금융위험을 감시하고 관리하는 역할을 하고 있습니다. 관계법령 또는 정부의 규제제약산업은 국민의 건강관리 및 질병의 예방, 치료, 처치 등을 위해 의약품을 개발·허가·제조 및 품질관리, 유통·판매하는 산업으로서 타 산업에 비해 많은 규제(안전성·유효성·안정성 확보, 약사법, 약가규제, 지적재산권 등)와 제약이 있습니다.최근 정부는 신약은 패스트트랙을 '지원'하되, 제네릭 의약품은 개발 노력(책임성 강화 및 시간, 비용 투자 등)에 따른 차등가격 원칙으로 개편되는 등 제약산업에 대한 규제를 강화하고 있습니다. 또한 정부의 약가 적정화 정책 및 한미 FTA체결, 약제비 적정화 방안 시행, 기등재의약품 목록 정비 사업, GMP기준 선진화 추진, 비윤리적 영업관행 금지 등급변하는 경쟁 환경속 에 각 제약사별 실적차별화가 예상되며 제품력, 영업력 및 브랜드인지도 등 경쟁요인과 더불어 신약개발력 및 수출경쟁력 확보 여부가 중요한 핵심쟁점으로 부상하고 있습니다. 전문의약품시장은 지속적인 대내외 환경변화 요인이 발생하고 있으며, 이러한 환경속에서 준법경영을 위해 CP(공정거래 자율준수프로그램)운영을 강화하는 동시에 제품 및 영업력 강화를 통한 경쟁력 확보에 중점을 두고 있습니다. 동화약품은 지속 가능한 성장을 위해 ▲ 경쟁력 강화를 통한 지속가능 성장 ▲ 빠르고 유연한 프로세스 정립 ▲ 회사 성장에 기여하는 R&D 구축 ▲ 직원 역량강화를 통한 견고한 조직 구현 ▲ 포트폴리오 확대를 통한 미래 성장동력 확보를 지속 추진하며 모든 역량을 집중하고 있습니다. 이사선임의 후보자의 인적사항은 주주총회 소집통지, 소집공고를 통해 주주총회 전에 공시하고 있습니다. 93기 주주총회부터 주주총회의 원활한 진행과 정족수 확보를 위하여 전자투표제를 한국예탁결제원에 위탁업무를 맡겨 진행하고 있습니다. 소수주주권 및 경영권 경쟁공시대상기간 중 소수주주권이 행사된 경우가 없었으며, 경영지배권에 관하여 경쟁이 있었던 경우도 없습니다.",0,6,3,1100
000040,2022,"당사는 이러한 시장추세에 적합한 전기차 이륜차 개발을 완료하여 본격상용 운영이 가능한 전기이륜차를 국내시장에 공급 진행하고 있습니다.유럽시장의 경우 안전 및 환경에 관한 통합규정으로서 WVTA(Whole Vehicle Type Approval) 규정을 따르고 있으나, 현재는 WP29(세계기준조화포럼)을 통해 법규기준의 통합이 이루어지고 있어 향후 인증법 적용에 있어서 기존 WVTA규정과 병행 또는 법규 변경이 예상됩니다. 미주시장은 환경관련 법규를 제외한 안전에 관한 규제는 제조사 자기인증제를 따르고 있으며 미연방법 등의 기준을 따르고 있습니다. 감사제도에 관한 사항 

2022년 9월 30일 현재 당사는 별도의 감사위원회를 설치하고 있지 아니하며, 주주총회 결의에 의해 선임된 상근감사 1인이 감사업무를 수행하고 있습니다.감사의 인적사항에 대해서는 ""VIII.",0,1,2,430
000040,2023,"미주시장은 환경관련 법규를 제외한 안전에 관한 규제는 제조사 자기인증제를 따르고 있으며 미연방법 등의 기준을 따르고 있습니다 
 .",0,0,1,73
000040,2024,"유럽시장의 경우 안전 및 환경에 관한 통합규정으로서 WVTA(Whole Vehicle Type Approval) 규정을 따르고 있으나, 현재는 WP29(세계기준조화포럼)을 통해 법규기준의 통합이 이루어지고 있어 향후 인증법 적용에 있어서 기존 WVTA규정과 병행 또는 법규 변경이 예상됩니다. 미주시장은 환경관련 법규를 제외한 안전에 관한 규제는 제조사 자기인증제를 따르고 있으며 미연방법 등의 기준을 따르고 있습니다. 감사제도에 관한 사항 

2024년 9월 30일 현재 당사는 별도의 감사위원회를 설치하고 있지 아니하며, 24년1월 25일 임시주주총회에서 신규 선임된 신규감사 1인이 감사업무를 수행하고 있습니다.",0,1,2,345
000050,2022,"최근 친환경 트렌드에 맞춰 혼방사의 경우도 폴리에스터를 재활용한 제품을 주력으로 생산하고 있으며, GLOBAL RECYCLED STANDARD 인증도 획득하였습니다. (5) 자본위험 관리 연결실체의 자본관리 목적은 계속기업으로서 주주 및 이해 당사자들에게 이익을 지속적으로 제공할 수 있는 능력을 보유하고 자본비용을 절감하기 위해 최적 자본구조를 유지하는 것입니다. 더불어, ISO 및 GRS 등 국제기준 인증을 통한 철저한 제품관리를 바탕으로 글로벌 브랜드와의 공급망을 확대하고 있습니다. 이사회는 법령 또는 정관에 의하여 주주총회의 권한으로 되어있는 사항을 제외한 본 회사의 업무수행에 관한 모든 사항을 결정합니다. (4) 감사의 선임과 감사부서 직원의 인사상 신분보장 ① 감사의 선임 당사는 각종법령 및 시행령의 규정에 적합한 자격을 갖춘 상근감사를 제반 규정을 준수하여 선임하고 있습니다. 감사의 독립성과 관련한 내용은 다음과 같습니다. 주주총회 등에 관한 사항 

3-1. 소수주주권 : 공시대상 기간 중 소수주주권이 행사된 경우가 없었습니다.",1,5,2,533
000050,2023,"최근 친환경 트렌드에 맞춰 혼방사의 경우도 폴리에스터를 재활용한 제품을 주력으로 생산하고 있으며, GLOBAL RECYCLED STANDARD 인증도 획득하였습니다. (5) 자본위험 관리 연결실체의 자본관리 목적은 계속기업으로서 주주 및 이해 당사자들에게 이익을 지속적으로 제공할 수 있는 능력을 보유하고 자본비용을 절감하기 위해 최적 자본구조를 유지하는 것입니다. 산업의 주요한 특성으로는 기술, 자본, 노동 집약적 특성이 꼽히며, 이에 따라 설비 합리화를 통한 생산성 향상으로 수출 증대에 크게 기여하였습니다. 국내적으로는 최저임금의 상승, 근로시간의 단축, 전력비 상승 등의 요인이 산업의 성장을 위해 해결해야 할 과제로 꼽히고 있습니다. 또한 대형 유통업체는 최근 시행된 중대재해 처벌 등에 관한 법률 적용에 해당하는 시설이라는 점에서 대책을 마련하고 있습니다. 이사회는 법령 또는 정관에 의하여 주주총회의 권한으로 되어있는 사항을 제외한 본 회사의 업무수행에 관한 모든 사항을 결정합니다. (4) 감사의 선임과 감사부서 직원의 인사상 신분보장 ① 감사의 선임 당사는 각종법령 및 시행령의 규정에 적합한 자격을 갖춘 상근감사를 제반 규정을 준수하여 선임하고 있습니다. 감사의 독립성과 관련한 내용은 다음과 같습니다. 주주총회 등에 관한 사항 

3-1. 소수주주권 : 공시대상 기간 중 소수주주권이 행사된 경우가 없었습니다.",2,5,3,689
000050,2024,"최근 친환경 트렌드에 맞춰 혼방사의 경우 리싸이클 폴리에스터 및 의류폐기물을 재활용한 제품을 생산하고 있으며, 100% 원면의 경우도 Regenagri cotton, Organic cotton을 생산하기 위한 인증을 취득하였습니다. (5) 자본위험 관리 연결실체의 자본관리 목적은 계속기업으로서 주주 및 이해 당사자들에게 이익을 지속적으로 제공할 수 있는 능력을 보유하고 자본비용을 절감하기 위해 최적 자본구조를 유지하는 것입니다. 산업의 주요한 특성으로는 기술, 자본, 노동 집약적 특성이 꼽히며, 이에 따라 설비 합리화를 통한 생산성 향상으로 수출 증대에 크게 기여하였습니다. 국내적으로는 최저임금의 상승, 근로시간의 단축, 전력비 상승 등의 요인이 산업의 성장을 위해 해결해야 할 과제로 꼽히고 있습니다. 또한 대형 유통업체는 최근 시행된 중대재해 처벌 등에 관한 법률 적용에 해당하는 시설이라는 점에서 대책을 마련하고 있습니다. 이러한 복합적인 위기에 대응하기 위해 당사는 소재 다변화를 통해 원면 가격 변동성 리스크를 최소화하고 있으며, 생산 공정 전반에 걸쳐 에너지 절감, 공정 최적화 등을 통한 원가 절감 활동을 강화하고 있습니다. 이사회는 법령 또는 정관에 의하여 주주총회의 권한으로 되어있는 사항을 제외한 본 회사의 업무수행에 관한 모든 사항을 결정합니다. (4) 감사의 선임과 감사부서 직원의 인사상 신분보장 ① 감사의 선임 당사는 각종법령 및 시행령의 규정에 적합한 자격을 갖춘 상근감사를 제반 규정을 준수하여 선임하고 있습니다. 감사의 독립성과 관련한 내용은 다음과 같습니다. 주주총회 등에 관한 사항 

3-1. 소수주주권 
 : 공시대상 기간 중 소수주주권이 행사된 경우가 없었습니다.",3,5,3,845
000070,2022,"사업지주회사는 직접 어떠한 사업활동을 수행함과 동시에 다른 회사를 지배하기 위하여 주식을 소유하는 회사입니다.지주회사의 장점으로는 기업지배구조의 투명성을 증대시켜 시장으로부터 적정한 기업가치를 평가 받음으로써 주주의 가치를 높이고, 독립적인 경영 및 객관적인 성과 평가를 가능케 함으로써 책임경영을 정착시키며, 사업부문별 특성에 맞는 신속하고 전문적인 의사결정이 가능한 체제를 확립하여 사업부문별 경쟁력을 강화하고, 전문화된 사업역량에 기업의 역량을 집중함으로써 경영위험의 분산 등을 추구할 수 있습니다. 연결기업은 훈련 및 관리기준, 절차를 통해 모든 종업원들이 자신의 역할과 의무를 이해할 수 있는 엄격하고 구조적인 통제환경을 구축하는 것을 목표로 하고 있습니다. 상기 조항은 회사가 보유한 해당 지분의 처분을 제한하기 위함이 아니라 경영권을 유지하게 하는데 목적을 둔 조항이며, 회사의 경영진은 현재 보유 중인 해당 지분을 처분할 계획이 없습니다.(13) 연결기업은 (주)엔씨켐의 기존주주인 넥서스홀딩스 유한회사, Rivendell Investment 2018-2 LLC(이하, ""기존주주들"")에게 주식매수청구권(Put-Option)을 부여하였습니다. 기존주주들은 주식매매계약에 따른 거래종결일로부터 30개월이 경과한 날을 기산일로하여 그 날로부터 18개월이 되는 날까지 (주)엔씨켐이 약정된 경영실적목표를 달성하지 못하는 경우 (주)삼양홀딩스를 상대로 거래종결일의 기존주주들 소유 주식 중 풋옵션 행사 시점에 소유하고 있는 주식 전부에 대하여 매수하도록 청구할 수 있는 권리(Put-Option)를 가지고 있습니다. 또한 연결기업은 거래종결일로부터 30개월이 경과한 날을 기산일로하여 그 날로부터 18개월이 되는 날까지 기존주주들을 상대로 잔여 주식의 20%에 해당하는 주식 전부를 연결기업 혹은 연결기업이 지정하는 사람에게 매도할 것을 청구할 수 있는 권리(Call-Option)를 가지고 있습니다. (14) 연결기업은 (주)엔씨켐의 기존주주인 이창민(이하, ""기존주주"")에게 주식매수청구권(Put-Option)을 부여하였습니다. 기존주주는 거래종결일로부터 30개월이 경과한 날을 기산일로하여 그 날로부터 18개월이 되는 날까지 (주)삼양홀딩스를 상대로 거래종결일의 기존주주 소유 주식 중 풋옵션 행사 시점에 소유하고 있는 주식 전부에대하여 매수하도록 청구할 수 있는 권리(Put-Option)를 가지고 있습니다. 또한 연결기업은 거래종결일로부터 30개월이 경과한 날을 기산일로하여 그 날로부터 18개월이 되는 날까지 기존주주를 상대로 잔여 주식의 50%에 해당하는 주식 전부를 연결기업 혹은 연결기업이 지정하는 사람에게 매도할 것을 청구할 수 있는 권리(Call-Option)를 가지고 있습니다. (15) 주식 처분 제한 약정 연결기업은 (주)엔씨켐에 대한 지분의 전부 또는 일부(이하, ""해당 지분"")를 제 3자에게 양도, 이전, 담보제공 또는 기타의 방법으로 처분하고자 할 경우 (주)엔씨켐의 기존주주인 넥서스홀딩스 유한회사, Rivendell Investment 2018-2 LLC, 이창민(이하, ""기존 주주들"")에게 사전 서면 동의를 받기로 약정하였습니다. 다만, 해당 지분의 전부 또는 일부를 (주)삼양홀딩스의 특수관계인에게 처분하고자 하는 경우, 계약상 의무를 승계할 것에 동의한다는 내용의 확약서를 기존주주들에게 제출하도록 하는 것을 선행조건으로 하여 기존주주들에 대한 사전 서면 통지에 의하여 위 주식을 처분할수 있습니다. 기존 압진공으로 생산되고 있는 밥용기를 박막 다층 사출 기술을 적용한 다층 용기를 개발하였고, 유리와 같은 고급감과 내열성과 파손의 문제가 없는 안전한 제약용 용기 개발도 진행하고 있습니다. 또한 삼양패키징은 국내 최초 Aseptic 기술을 도입하여 기존 Hot Filling 충전방식과 달리 무균화된 액을 무균화된 용기에 무균화된 충전룸에서 충전하여 저산성이나 중성음료를 안전하게 실온에서 충전하는 차별화된 충전방식으로 제품을 생산하고 있으며, 이렇게 차별화된 제조기술로 인해 국내 독점적인 OEM, ODM 제품을 출시하여 경쟁력을 확보하였습니다. 이에 따라 향후 제품개발도 차별화되고 타사에서 실현할 수 없는 PET병으로 밀크티, 커피음료, 조제유, 가공유, 탄산, sack포함 음료 등을 지속적으로 상품화할 예정입니다.재활용 용이성을 고려하여 용기 구조와 생산공정 연구를 지속적으로 진행하여 PET 원료 사용량을 저감한 감량화 PET용기, 라벨Free 용기 개발을 적극적으로 진행, 상업화하며, 사회적 책임에 기여하고 있습니다. 또한 식품용 용기, 포장재 원료의 재활용 원료 허용에 따른 고순도 재활용chip을 적용, PET 용기 개발 중입니다. 음료 사업은 특히 위생과 안전이 무엇보다 중요한 산업으로 아셉틱 방식은 전 공정이 무균 상태로 관리되어 상대적으로 위생성과 안정성이 매우 높습니다. 환경(녹색경영) 관련 사항1) 삼양사 (1) 온실가스 배출량 및 에너지 사용량정부는 2030년까지의 국가 온실가스 감축목표를 2018년 배출량 대비 40% 감축하는것으로 상향 조정 발표하였고, 이를 효율적으로 달성하기 위해 이전 제도보다 강화된온실가스 배출권거래제를 시행하고 있습니다. 삼양사는 이러한 정부시책에 적극 부응하기 위해 온실가스관리시스템 구축, 폐열회수, 고효율기기, 태양광시설 적극적 도입 등 감축수단을 검토ㆍ실행하여 온실가스 배출량을 지속적으로 감축하고 있습니다. 삼양사의 2022년 온실가스 배출량 및 에너지 사용량은 아래와 같습니다. 2) 삼양패키징 (1) 온실가스 배출량 및 에너지 사용량정부는 2030년까지의 국가 온실가스 감축목표를 2018년 배출량 대비 40% 감축하는것으로 상향 조정 발표하였고 이를 효율적으로 달성하기 위해 이전 제도보다 강화된 온실가스 배출권 거래제를 시행하고 있습니다. 삼양패키징은 이러한 정부시책에 적극 부응하기 위해 열원변경, 폐열회수, 고효율기기 적극적 도입 등 감축수단을 검토, 실행하여 온실가스 배출량을 지속적으로 감축하고 있습니다. 삼양패키징의 2022년 온실가스 배출량 및 에너지 사용량은 아래와 같습니다. 삼양패키징은 사업장의 저효율 에너지설비를 고효율 설비로 교체하여 온실가스 감축활동을 지속적으로 실시하고 있습니다. 지속적으로 고효율 설비 및 친환경 설비로 교체를 확대 적용할 예정입니다.(2) 환경보호 활동삼양패키징은 친환경적이고, 저탄소 및 에너지효율화, 수자원 보호를 위하여 많은 투자와 노력을 진행하고 있습니다. 주요 사업장인 광혜원공장은 수질 1종, 대기 2종 등의 배출시설 관리 및 폐기물 관리를 철저히 하고 있으며, 폐기물 배출량의 감량화와 유해화학물질관리 및 환경안전관리에 있어서 지속가능한 관리시스템을 구축하고 있습니다. 주요 사업장인 광혜원공장은 수질 1종, 대기 2종 등의 배출시설 관리 및 폐기물 관리를 철저히 하고 있으며, 폐기물 배출량의 감량화와 유해화학물질관리 및 환경안전관리에 있어서 지속가능한 관리시스템을 구축하고 있습니다. 이에 적극적인 투자를 통하여 환경법령에서 부여된 각종 규제사항과 의무사항을 성실하게 이행하고, 배출시설과 방지시설 등을 자율적으로 정상 운영함으로써, 대기, 수질, 폐기물, 사업장일반폐기물, 소음진동 분야에 대하여 2013년 충청북도청으로부터 자율점검 업소로 지정(연장 2019.04.17~2023.07.09)되어 우수 사업장으로인정을 받고 있습니다.또한 Aseptic 음료제조시설 투자를 통하여 포장용기의 경량화를 통한 탄소저감에 기여하고 있으며, 청정연료인 LNG 보일러 전환, LED 조명 전환, 고효율 Utility 설비 교체 등의 에너지 효율화 작업을 위한 투자에도 적극 참여하고 있습니다. 수자원 보호를 위하여 중수도 시설을 투자하여 폐수를 재사용함으로써 상수도사용량 감면에도기여하고 있으며, 환경보호활동인 '1사1하천 정화운동'을 통해 각 사업장에서 인근 하천 정화활동을 꾸준히 시행하고 있습니다. ※ 상기 재무 정보는 2023년 3월 24일 개최 예정인 정기주주총회의 안건으로 상정된내용을 바탕으로 작성하였으며, 해당 안건이 부결되거나 수정이 발생할 경우 정정 보고서를 통하여 그 내용 및 사유 등을 반영할 예정입니다. 엔지니어링 플라스틱 사업은 북미 대표 자동차 부품사와 협업을 통해 글로벌 역량을 강화했으며, 투명 난연 폴리카보네이트 양산, 폐어망을 재활용한 자동차용 나일론 소재 개발 등 고부가가치 소재 발굴을 통해 시장 확대뿐만 아니라 ESG경영을 실천해 미래성장가치를 제고했습니다. 이사회의 독립성 이사는 주주총회에서 선임하며, 주주총회에서 선임할 이사 후보자는 이사회(사내이사) 및 사외이사 후보추천위원회(사외이사)가 선정하여 주주총회에 제출할 의안으로 확정하고 있습니다. 감사위원회 제도 당사는 제68기 정기주주총회(2019년 3월 22일)의 승인으로 감사위원회를 설치하였으며, 사외이사 4명으로 구성하여 감사 업무를 수행하고 있습니다. 소수주주권 당사는 공시대상기간 중 소수주주권의 행사가 없었습니다.",14,13,5,4369
