stock_code,company_name,fiscal_year,corp_code,CAPEX
005930,삼성전자,2022,00126380,49430428000000.0
005930,삼성전자,2023,00126380,57611292000000.0
005930,삼성전자,2024,00126380,51406355000000.0
001460,BYC,2022,00122579,9700645382.0
001460,BYC,2023,00122579,34205871242.0
001460,BYC,2024,00122579,15015601892.0
005380,현대자동차,2022,00164742,4014969000000.0
005380,현대자동차,2023,00164742,7070758000000.0
005380,현대자동차,2024,00164742,8061333000000.0
000120,CJ대한통운,2022,00113410,254895828200.0
000120,CJ대한통운,2023,00113410,257110896386.0
000120,CJ대한통운,2024,00113410,193263182268.0
097950,CJ제일제당,2022,00635134,1442983885000.0
097950,CJ제일제당,2023,00635134,1124228810000.0
097950,CJ제일제당,2024,00635134,1000900488000.0
001040,CJ,2022,00148540,1916741996000.0
001040,CJ,2023,00148540,1478930522000.0
001040,CJ,2024,00148540,1344839176000.0
035760,CJ ENM,2022,00265324,199459747898.0
035760,CJ ENM,2023,00265324,100097945073.0
035760,CJ ENM,2024,00265324,63376410782.0
282330,BGF리테일,2022,01263022,222581325427.0
282330,BGF리테일,2023,01263022,206160444626.0
282330,BGF리테일,2024,01263022,219039004334.0
051500,CJ프레시웨이,2022,00127954,36587754742.0
051500,CJ프레시웨이,2023,00127954,44084018067.0
051500,CJ프레시웨이,2024,00127954,46977322809.0
000660,SK하이닉스,2022,00164779,19010261000000.0
000660,SK하이닉스,2023,00164779,8325138000000.0
000660,SK하이닉스,2024,00164779,15945534000000.0
035420,NAVER,2022,00266961,700733545914.0
035420,NAVER,2023,00266961,640623697250.0
035420,NAVER,2024,00266961,553997155009.0
035720,카카오,2022,00258801,452915990820.0
035720,카카오,2023,00258801,575149905184.0
035720,카카오,2024,00258801,379616319229.0
036570,엔씨소프트,2022,00261443,249705689575.0
036570,엔씨소프트,2023,00261443,117405612659.0
036570,엔씨소프트,2024,00261443,84187207659.0
018260,삼성에스디에스,2022,00126186,591916912490.0
018260,삼성에스디에스,2023,00126186,450709905312.0
018260,삼성에스디에스,2024,00126186,474720621150.0
068270,셀트리온,2022,00413046,-111168804221.0
