stock_code,fiscal_year,assets,debt,income
005930,2022,448424507000000.0,93674903000000.0,55654077000000.0
005930,2023,455905980000000.0,455905980000000.0,15487100000000.0
005930,2024,514531948000000.0,112339878000000.0,34451351000000.0
001460,2022,668872026401.0,153134740019.0,35286502037.0
001460,2023,685663060325.0,685663060325.0,23666593032.0
001460,2024,696400955313.0,696400955313.0,18404839494.0
005380,2022,255742462000000.0,164845917000000.0,7983614000000.0
005380,2023,282463355000000.0,180653915000000.0,12272301000000.0
005380,2024,339798429000000.0,219522496000000.0,13229908000000.0
000120,2022,9693299818264.0,5658991479602.0,196821784424.0
000120,2023,9357587266747.0,9357587266747.0,242876054885.0
000120,2024,9743855522383.0,5518255667581.0,268320297629.0
097950,2022,30013241845000.0,18484219204000.0,802674084000.0
097950,2023,29606279551000.0,17826337301000.0,559462096000.0
097950,2024,30149997467000.0,17907211781000.0,361835555000.0
001040,2022,48240408307000.0,30506774819000.0,686845690000.0
001040,2023,47203762893000.0,29310944319000.0,524667990000.0
001040,2024,47496993224000.0,29750607288000.0,151195776000.0
035760,2022,10332246645583.0,5987918870682.0,-176815032777.0
035760,2023,9949859715419.0,5772095217523.0,-396774722680.0
035760,2024,9316636930911.0,5638566211854.0,-580847429608.0
282330,2022,2946235271626.0,1983607627851.0,193538863026.0
282330,2023,3219078523118.0,3219078523118.0,195844952003.0
282330,2024,3402590175982.0,3402590175982.0,195217876198.0
051500,2022,1484726893096.0,1080671194761.0,52243125151.0
051500,2023,1374744040154.0,1005243973827.0,59700224939.0
051500,2024,1564362058881.0,1148980725062.0,27405072378.0
000660,2022,103871512000000.0,40580970000000.0,2241669000000.0
000660,2023,100330165000000.0,46826413000000.0,-9137547000000.0
000660,2024,119855209000000.0,45939505000000.0,19796902000000.0
035420,2022,33899042889136.0,10448720408685.0,673180300087.0
035420,2023,35737826964395.0,35737826964395.0,985017762493.0
035420,2024,38167876036020.0,38167876036020.0,1931976372953.0
035720,2022,22963651561449.0,9447968971124.0,1066994242805.0
035720,2023,25179968939321.0,25179968939321.0,-1816669011014.0
035720,2024,25773028304462.0,25773028304462.0,-161870567171.0
036570,2022,4437632450781.0,1239083608249.0,435990309263.0
036570,2023,4393800423903.0,4393800423903.0,213914315973.0
036570,2024,3953941191414.0,3953941191414.0,94115833907.0
018260,2022,11952424889489.0,3485454954575.0,1130012585621.0
018260,2023,12321024561023.0,3345453419084.0,701325761022.0
018260,2024,13238330251696.0,3532880772221.0,789501325293.0
068270,2022,5891652311251.0,1617448041462.0,542566233270.0
068270,2023,19917534297169.0,2791739989934.0,539706505110.0
068270,2024,21055222437706.0,3475160069015.0,418883310404.0
005490,2022,98406780635254.0,40149380046004.0,3560483538695.0
005490,2023,100945394185079.0,100945394185079.0,1845849532200.0
005490,2024,103404198997805.0,41953831078121.0,947580322052.0
051910,2022,67973823000000.0,30492696000000.0,2195518000000.0
051910,2023,,,2053425000000.0
051910,2024,,,515011000000.0
096770,2022,67218924277000.0,43976612895000.0,1895179127000.0
096770,2023,80835513251000.0,80835513251000.0,554894277000.0
096770,2024,110530097549000.0,70881188555000.0,-2372482956000.0
011170,2022,26784587810580.0,9520345523797.0,27820456953.0
011170,2023,33476310224541.0,33476310224541.0,-39243085252.0
011170,2024,34552330375053.0,14564385612175.0,
010130,2022,12097918358974.0,2866186242426.0,
010130,2023,12046071311650.0,12046071311650.0,533378688122.0
010130,2024,14792322181548.0,14792322181548.0,194781564506.0
010950,2022,19613135000000.0,11129666000000.0,2104387000000.0
010950,2023,21576123000000.0,12538558000000.0,948848000000.0
010950,2024,24451433000000.0,15755786000000.0,-193042000000.0
086790,2022,,,
086790,2023,591925995000000.0,551744278000000.0,3468356000000.0
086790,2024,637847513000000.0,594270586000000.0,3768529000000.0
055550,2022,,,
055550,2023,691795333000000.0,691795333000000.0,4478000000000.0
055550,2024,739764256000000.0,739764256000000.0,4558170000000.0
105560,2022,,,
105560,2023,715738152000000.0,656864842000000.0,4563431000000.0
105560,2024,757845532000000.0,698030351000000.0,5028606000000.0
316140,2022,,,
316140,2023,498004936000000.0,498004936000000.0,2626894000000.0
316140,2024,525753320000000.0,525753320000000.0,3171469000000.0
138930,2022,,,
138930,2023,145783633894264.0,145783633894264.0,678904864314.0
138930,2024,152470490926534.0,152470490926534.0,749976302023.0
024110,2022,,,
024110,2023,448427279000000.0,416610518000000.0,2675188000000.0
024110,2024,472219838000000.0,437988747000000.0,2654338000000.0
000640,2022,1731452067203.0,732791277454.0,7835195645.0
000640,2023,1957106350366.0,929797048609.0,55863039721.0
000640,2024,2030483787016.0,966546316740.0,57573399359.0
001740,2022,9499259000000.0,7048547000000.0,68433000000.0
001740,2023,9110359000000.0,9110359000000.0,5459000000.0
001740,2024,5157129000000.0,3103820000000.0,46292000000.0
002790,2022,7651003801454.0,1117500460491.0,149222412761.0
002790,2023,7631430777862.0,1106298749214.0,234714547925.0
002790,2024,8540521424208.0,1548821316419.0,652873028811.0
003670,2022,4637476140189.0,1986831501348.0,121928567124.0
003670,2023,6334593297871.0,6334593297871.0,4435219953.0
003670,2024,7932459834018.0,7932459834018.0,-231338259262.0
006400,2022,30257525171127.0,13040023014999.0,2039361447986.0
006400,2023,34038860192967.0,14131610215445.0,2066046562201.0
006400,2024,40597344536357.0,19030107423830.0,575512415979.0
007070,2022,9832423124845.0,5412417744683.0,47609804762.0
