company_name,stock_code,corp_code,fiscal_year,fs_div,status,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,업종구분
BGF리테일,282330,1263022,2022,CFS,ok,7577772992730.0,249222456102.0,190700182902.0,2857090833991.0,1925834120729.0,931256713262.0,비금융업
BGF리테일,282330,1263022,2023,CFS,ok,8131702452406.0,241386595896.0,184915364010.0,3125008335960.0,2091628141264.0,1033380194696.0,비금융업
BGF리테일,282330,1263022,2024,CFS,ok,8592135750579.0,230407886963.0,172762269376.0,3271137736943.0,2147818808661.0,1123318928282.0,비금융업
BYC,1460,122579,2022,CFS,ok,169680336869.0,25326353051.0,35286502037.0,668872026401.0,153134740019.0,515737286382.0,비금융업
BYC,1460,122579,2023,CFS,ok,168401523886.0,27498394275.0,23666593032.0,685663060325.0,150742490158.0,534920570167.0,비금융업
BYC,1460,122579,2024,CFS,ok,165207568941.0,23832906913.0,18404839494.0,696400955313.0,146993205799.0,549407749514.0,비금융업
CJ,1040,148540,2022,CFS,ok,40924879773000.0,2154201790000.0,686845690000.0,48240408307000.0,30506774819000.0,17733633488000.0,비금융업
CJ,1040,148540,2023,CFS,ok,41352688159000.0,2039057889000.0,524667990000.0,47203762893000.0,29310944319000.0,17892818574000.0,비금융업
CJ,1040,148540,2024,CFS,ok,43646656090000.0,2547483645000.0,151195776000.0,47496993224000.0,29750607288000.0,17746385936000.0,비금융업
CJ ENM,35760,265324,2022,CFS,ok,4792237788876.0,137375904912.0,-176815032777.0,10332246645583.0,5987918870682.0,4344327774901.0,비금융업
CJ ENM,35760,265324,2023,CFS,ok,4368360656512.0,-14600377588.0,-396774722680.0,9949859715419.0,5772095217523.0,4177764497896.0,비금융업
CJ ENM,35760,265324,2024,CFS,ok,5231360073502.0,104478244497.0,-580847429608.0,9316636930911.0,5638566211854.0,3678070719057.0,비금융업
CJ대한통운,120,113410,2022,CFS,ok,12130712862374.0,411786887242.0,196821784424.0,9693299818264.0,5658991479602.0,4034308338662.0,비금융업
CJ대한통운,120,113410,2023,CFS,ok,11767893663269.0,480234863157.0,242876054885.0,9357587266747.0,5314491023876.0,4043096242871.0,비금융업
CJ대한통운,120,113410,2024,CFS,ok,12116761147160.0,530663067133.0,268320297629.0,9743855522383.0,5518255667581.0,4225599854802.0,비금융업
CJ제일제당,97950,635134,2022,CFS,ok,30079513121000.0,1664708210000.0,802674084000.0,30013241845000.0,18484219204000.0,11529022641000.0,비금융업
