company_name,esg_year,esg_grade
BGF리테일,2023,A
BGF리테일,2024,A
BGF리테일,2025,A
BNK금융지주,2023,A
BNK금융지주,2024,A
BNK금융지주,2025,A
BYC,2023,D
BYC,2024,D
BYC,2025,D
CJ,2023,B+
CJ,2024,A
CJ,2025,A
CJ ENM,2023,B+
CJ ENM,2024,B+
CJ ENM,2025,A
CJ대한통운,2023,B+
CJ대한통운,2024,A
CJ대한통운,2025,A
CJ제일제당,2023,A
CJ제일제당,2024,A
CJ제일제당,2025,A
CJ프레시웨이,2023,A
CJ프레시웨이,2024,A
CJ프레시웨이,2025,A
CS홀딩스,2023,C
CS홀딩스,2024,C
CS홀딩스,2025,C
DB하이텍,2023,B
DB하이텍,2024,B+
DB하이텍,2025,C
DL,2023,A
DL,2024,A
DL,2025,A
GS글로벌,2023,B+
GS글로벌,2024,B+
GS글로벌,2025,B+
GS리테일,2023,A
GS리테일,2024,A
GS리테일,2025,A+
HD현대인프라코어,2024,A
HD현대인프라코어,2025,A+
HL D&I,2023,B+
HL D&I,2024,A
HL D&I,2025,A+
JW중외제약,2023,C
JW중외제약,2024,B+
JW중외제약,2025,B+
KB금융,2024,A+
KB금융,2025,A
KB금융지주,2023,A+
KG케미칼,2023,D
KG케미칼,2024,C
KG케미칼,2025,C
KR모터스,2023,D
KR모터스,2024,D
KR모터스,2025,D
LG화학,2023,B
LG화학,2024,A
LG화학,2025,B+
LS네트웍스,2023,B
LS네트웍스,2024,B+
LS네트웍스,2025,B+
LX인터내셔널,2023,A
LX인터내셔널,2024,B+
LX인터내셔널,2025,A
NAVER,2023,A
NAVER,2024,A+
NAVER,2025,A
PKC,2025,D
POSCO홀딩스,2023,A
POSCO홀딩스,2024,A+
POSCO홀딩스,2025,A
S-Oil,2023,A
S-Oil,2024,A+
S-Oil,2025,A
SGC에너지,2023,B+
SGC에너지,2024,B+
SGC에너지,2025,B
SG글로벌,2023,D
SG글로벌,2024,D
SG글로벌,2025,D
SK네트웍스,2023,A
SK네트웍스,2024,A
SK네트웍스,2025,A+
SK이노베이션,2023,A
SK이노베이션,2024,A+
SK이노베이션,2025,A+
SK증권,2023,B+
SK증권,2024,B+
SK증권,2025,B+
SK하이닉스,2023,B+
SK하이닉스,2024,A
SK하이닉스,2025,B+
SPC삼립,2023,B
SPC삼립,2024,D
SPC삼립,2025,B
가온전선,2023,B
가온전선,2024,B+
가온전선,2025,B
강남제비스코,2023,C
강남제비스코,2024,B+
강남제비스코,2025,B+
경방,2023,D
경방,2024,C
경방,2025,C
고려아연,2023,B
고려아연,2024,B
고려아연,2025,B+
국보,2023,D
국보,2024,D
국보,2025,D
금호전기,2023,D
금호전기,2024,D
금호전기,2025,D
기아,2023,B+
기아,2024,B
기아,2025,A
기업은행,2023,A
기업은행,2024,A
기업은행,2025,B+
깨끗한나라,2023,C
깨끗한나라,2024,B+
깨끗한나라,2025,B
남광토건,2023,C
남광토건,2024,D
남광토건,2025,D
남양유업,2023,C
남양유업,2024,B
남양유업,2025,B
넥센타이어,2023,B+
넥센타이어,2024,B+
넥센타이어,2025,B
노루홀딩스,2023,A
노루홀딩스,2024,A
노루홀딩스,2025,A
농심,2023,C
농심,2024,B+
농심,2025,B
대동,2023,D
대동,2024,C
대동,2025,B+
대상,2023,B+
대상,2024,A
대상,2025,A
대원강업,2023,C
대원강업,2024,C
대원강업,2025,B+
대한방직,2023,C
대한방직,2024,C
대한방직,2025,C
대한전선,2023,A
대한전선,2024,A
대한전선,2025,A
대한제분,2023,D
대한제분,2024,D
대한제분,2025,C
동국제강,2023,B
동국홀딩스,2024,A
동국홀딩스,2025,A
동아쏘시오홀딩스,2023,A
동아쏘시오홀딩스,2024,A
동아쏘시오홀딩스,2025,A+
동양,2023,D
동양,2024,D
동양,2025,C
동진쎄미켐,2023,C
동진쎄미켐,2024,B
동진쎄미켐,2025,B
동화약품,2023,C
동화약품,2024,C
동화약품,2025,C
두산,2023,B+
두산,2024,B+
두산,2025,A
디아이동일,2023,D
디아이동일,2024,D
디아이동일,2025,D
롯데손해보험,2023,B+
롯데손해보험,2024,B+
롯데손해보험,2025,B+
롯데케미칼,2023,A
롯데케미칼,2024,B+
롯데케미칼,2025,A
만호제강,2023,C
만호제강,2024,C
만호제강,2025,D
백광산업,2023,D
백광산업,2024,D
보해양조,2023,D
보해양조,2024,D
보해양조,2025,D
부국증권,2023,C
부국증권,2024,C
부국증권,2025,C
삼부토건,2023,D
삼부토건,2024,C
삼부토건,2025,D
삼성SDI,2023,A
삼성SDI,2024,A
삼성SDI,2025,A+
삼성에스디에스,2023,A
삼성에스디에스,2024,A
삼성에스디에스,2025,A
삼성전자,2023,A
삼성전자,2024,A
삼성전자,2025,B+
삼성제약,2023,D
삼성제약,2024,D
삼성제약,2025,D
삼성화재해상보험,2023,A
삼성화재해상보험,2024,A
삼성화재해상보험,2025,B+
삼양홀딩스,2023,B+
삼양홀딩스,2024,B+
삼양홀딩스,2025,A
삼일제약,2023,D
삼일제약,2024,C
삼일제약,2025,C
삼진제약,2023,D
삼진제약,2024,C
삼진제약,2025,B
삼천당제약,2023,D
삼천당제약,2024,D
삼천당제약,2025,D
삼화페인트공업,2023,B
삼화페인트공업,2024,B+
삼화페인트공업,2025,B+
상상인증권,2023,D
상상인증권,2024,D
상상인증권,2025,C
성창기업지주,2023,D
성창기업지주,2024,D
성창기업지주,2025,D
세아베스틸지주,2023,C
세아베스틸지주,2024,A
세아베스틸지주,2025,A
셀트리온,2023,B
셀트리온,2024,B
셀트리온,2025,A
시알홀딩스,2024,D
시알홀딩스,2025,C
신영증권,2023,B+
신영증권,2024,B+
신영증권,2025,B+
신한지주,2023,A+
신한지주,2024,A+
신한지주,2025,A+
아모레퍼시픽홀딩스,2023,A
아모레퍼시픽홀딩스,2024,A
아모레퍼시픽홀딩스,2025,A+
아세아,2023,B+
아세아,2024,A
아세아,2025,A
에스엘,2023,B+
에스엘,2024,B+
에스엘,2025,B
엔씨소프트,2023,A
엔씨소프트,2024,A
엔씨소프트,2025,A
영풍,2023,B
영풍,2024,B+
영풍,2025,B
오리온홀딩스,2023,A
오리온홀딩스,2024,A
오리온홀딩스,2025,A
우리금융지주,2023,A
우리금융지주,2024,A
우리금융지주,2025,A
유니온,2023,C
유니온,2024,C
유니온,2025,C
유수홀딩스,2023,B+
유수홀딩스,2024,B+
유수홀딩스,2025,B+
유유제약,2023,C
유유제약,2024,D
유유제약,2025,C
유진증권,2023,B
유진증권,2024,B
유진증권,2025,C
유한양행,2023,B+
유한양행,2024,A
유한양행,2025,A
이수화학,2023,C
이수화학,2024,C
이수화학,2025,B
이화산업,2023,D
이화산업,2024,C
이화산업,2025,D
일동홀딩스,2023,B+
일동홀딩스,2024,A
일동홀딩스,2025,B+
전방,2023,D
전방,2024,D
전방,2025,D
제일연마,2023,C
제일연마,2024,C
제일연마,2025,C
조선내화,2023,D
조흥,2023,C
조흥,2024,C
조흥,2025,B
종근당홀딩스,2023,B+
종근당홀딩스,2024,B+
종근당홀딩스,2025,A
천일고속,2023,D
천일고속,2024,D
천일고속,2025,D
카카오,2023,A
카카오,2024,A
카카오,2025,A
케이티,2023,A
케이티,2024,A
케이티,2025,A+
태광산업,2023,D
태광산업,2024,C
태광산업,2025,B
태원물산,2023,D
태원물산,2024,D
태원물산,2025,D
페이퍼코리아,2023,D
페이퍼코리아,2024,D
페이퍼코리아,2025,C
포스코케미칼,2023,B+
포스코퓨처엠,2024,A
포스코퓨처엠,2025,A+
하나금융지주,2023,A
하나금융지주,2024,A
